epoch,dice,fg_f1,fg_precision,fg_recall,loss,val_dice,val_fg_f1,val_fg_precision,val_fg_recall,val_loss
0,0.16151724755764008,0.16151222586631775,0.09194057434797287,0.9343234300613403,0.6769183874130249,0.03000304102897644,0.029996564611792564,0.01722845248878002,0.1663588136434555,0.6394387483596802
1,0.5015759468078613,0.5015662312507629,0.3617008328437805,0.937659502029419,0.4907374083995819,0.1298215240240097,0.12981709837913513,0.07108616828918457,0.9483165740966797,0.8160324692726135
2,0.7086535096168518,0.7086451649665833,0.5824947953224182,0.9638041853904724,0.4300636053085327,0.20010904967784882,0.20010316371917725,0.1145462617278099,0.9979231953620911,0.9401114583015442
3,0.7843204736709595,0.784313440322876,0.6730325222015381,0.975711464881897,0.3982238471508026,0.34112685918807983,0.3411186635494232,0.21555431187152863,0.9999868869781494,0.7791399955749512
4,0.8297401070594788,0.8297340869903564,0.7345383167266846,0.9768297672271729,0.37331488728523254,0.5922877192497253,0.592278242111206,0.4491554796695709,0.9935805201530457,0.4423382878303528
5,0.8507848381996155,0.8507794737815857,0.7644740343093872,0.9800668954849243,0.3516366183757782,0.6609324216842651,0.6609233617782593,0.524895966053009,0.9882413148880005,0.3634486794471741
6,0.8625527024269104,0.8625475764274597,0.7817455530166626,0.9797350168228149,0.3319595158100128,0.6597226858139038,0.659713864326477,0.5373435020446777,0.9771735072135925,0.34181296825408936
7,0.8680940270423889,0.8680890798568726,0.7915118336677551,0.9780651926994324,0.31370142102241516,0.6937304139137268,0.6937217712402344,0.5750617980957031,0.9770169854164124,0.28995639085769653
8,0.8733821511268616,0.8733774423599243,0.798542320728302,0.9777435660362244,0.2956700026988983,0.6389997005462646,0.6389909386634827,0.5203707218170166,0.9786559343338013,0.33507606387138367
9,0.8809050917625427,0.8809006810188293,0.8104123473167419,0.9775240421295166,0.2738572657108307,0.7355859875679016,0.7355778217315674,0.6442062258720398,0.9585914611816406,0.21864676475524902
10,0.8822062611579895,0.8822017312049866,0.8086086511611938,0.9817342758178711,0.2529001533985138,0.7516266703605652,0.7516189217567444,0.6876618266105652,0.9404881596565247,0.18843144178390503
11,0.8868191242218018,0.8868148326873779,0.8187383413314819,0.9762231111526489,0.2380673885345459,0.7902100086212158,0.7902026176452637,0.698194682598114,0.9671132564544678,0.14825746417045593
12,0.8924204111099243,0.8924161195755005,0.8247311115264893,0.9802345633506775,0.22272512316703796,0.7900812029838562,0.7900736927986145,0.7073091268539429,0.9511702060699463,0.13200199604034424
13,0.8914366364479065,0.8914324641227722,0.8241755366325378,0.9798756837844849,0.21169796586036682,0.7931777238845825,0.7931681871414185,0.791375994682312,0.8493888974189758,0.09704584628343582
14,0.8711897730827332,0.871184766292572,0.8009015321731567,0.9680338501930237,0.20432734489440918,0.8436710238456726,0.8436650633811951,0.7919431924819946,0.9437882304191589,0.08985814452171326
15,0.8871332406997681,0.8871287703514099,0.8207172751426697,0.9759116768836975,0.18775002658367157,0.8058217167854309,0.8058149814605713,0.7904963493347168,0.9060287475585938,0.09880787134170532
