epoch,dice,fg_f1,fg_precision,fg_recall,loss,val_dice,val_fg_f1,val_fg_precision,val_fg_recall,val_loss
0,0.08117958158254623,0.08117686957120895,0.043291591107845306,0.9455296993255615,0.6891931295394897,0.07566837221384048,0.07566579431295395,0.03965501859784126,0.9999497532844543,0.7084107995033264
1,0.319810688495636,0.3198026418685913,0.19967013597488403,0.9696458578109741,0.5318623781204224,0.07496324926614761,0.07496073842048645,0.03930532932281494,1.0,0.7598559856414795
2,0.4857620596885681,0.48575255274772644,0.3425859212875366,0.9585537314414978,0.47434180974960327,0.22730527818202972,0.2272985726594925,0.13426439464092255,0.9536341428756714,0.554688036441803
3,0.642876923084259,0.642867922782898,0.494219571352005,0.9822720885276794,0.42189648747444153,0.32272011041641235,0.32271188497543335,0.20846059918403625,0.9522354602813721,0.5473524928092957
4,0.7278251051902771,0.7278169989585876,0.5924142003059387,0.9844977259635925,0.3934524357318878,0.4289437532424927,0.42893198132514954,0.3280489444732666,0.8312280774116516,0.40138208866119385
5,0.7613463997840881,0.7613388895988464,0.6353849172592163,0.9852144718170166,0.3710916340351105,0.5572620034217834,0.5572501420974731,0.5042051672935486,0.8292301893234253,0.3264515995979309
6,0.7769057154655457,0.7768984436988831,0.6536512970924377,0.988304078578949,0.34946969151496887,0.5871970057487488,0.5871827006340027,0.5898644924163818,0.7063427567481995,0.24556496739387512
7,0.7819165587425232,0.7819094061851501,0.659666121006012,0.9878496527671814,0.329195499420166,0.5659984946250916,0.5659801959991455,0.6455703973770142,0.5811185836791992,0.2009664624929428
8,0.7959291934967041,0.7959222793579102,0.6757939457893372,0.9892224073410034,0.30895745754241943,0.6677238941192627,0.6677125692367554,0.7012664675712585,0.782185435295105,0.15518498420715332
9,0.7917375564575195,0.7917305827140808,0.6746540665626526,0.9862781763076782,0.2910943627357483,0.6524285674095154,0.6524185538291931,0.6134485602378845,0.8730202913284302,0.1618840992450714
10,0.8103755116462708,0.8103691339492798,0.7008040547370911,0.9825909733772278,0.28036022186279297,0.7026808261871338,0.7026700973510742,0.7340150475502014,0.7797436714172363,0.11583009362220764
11,0.8320363163948059,0.8320302367210388,0.7303606867790222,0.9870977401733398,0.25956547260284424,0.7347856760025024,0.7347759008407593,0.7729666233062744,0.7916883826255798,0.11371481418609619
12,0.8390230536460876,0.8390175700187683,0.7395116090774536,0.9866334199905396,0.24642214179039001,0.7417548894882202,0.74174565076828,0.757807731628418,0.8305755853652954,0.11161313951015472
13,0.8339014053344727,0.8338955640792847,0.7312749624252319,0.9858725666999817,0.2360120415687561,0.771905779838562,0.7718977332115173,0.7627582550048828,0.8690935969352722,0.10028866678476334
14,0.8479551076889038,0.8479496240615845,0.7603429555892944,0.9852368831634521,0.2208709418773651,0.766364574432373,0.7663564085960388,0.7683994174003601,0.8680195808410645,0.08422958850860596
15,0.8522043824195862,0.8521990180015564,0.7663320899009705,0.9798736572265625,0.20833128690719604,0.800361692905426,0.8003546595573425,0.7873737812042236,0.8922796249389648,0.09305200725793839
16,0.8488345742225647,0.8488291501998901,0.7654415965080261,0.9703648090362549,0.19538985192775726,0.7847683429718018,0.7847608923912048,0.7585633993148804,0.8931583762168884,0.11960722506046295
17,0.8347485065460205,0.8347426652908325,0.7600144147872925,0.9602134227752686,0.19296734035015106,8.352330041816458e-05,0.0,0.0,0.0,0.09266798198223114
18,0.8688020706176758,0.8687971830368042,0.8013824820518494,0.9699021577835083,0.1796504706144333,0.8321335911750793,0.8321273326873779,0.7751563191413879,0.9428619742393494,0.08899207413196564
19,0.8726085424423218,0.8726037740707397,0.8020894527435303,0.9777650237083435,0.16938558220863342,0.8097508549690247,0.8097440600395203,0.8371636867523193,0.8581359386444092,0.08939167857170105
20,0.898711085319519,0.8987070322036743,0.8389008641242981,0.978632926940918,0.1581081748008728,0.8134365081787109,0.8134296536445618,0.8218774199485779,0.8710615634918213,0.0912737101316452
21,0.9075520634651184,0.9075484871864319,0.8511941432952881,0.9831666350364685,0.14951832592487335,0.8216335773468018,0.821627140045166,0.8289802074432373,0.8850618004798889,0.08184488117694855
22,0.9171066880226135,0.9171031713485718,0.8645716309547424,0.9823221564292908,0.14158636331558228,0.8236702084541321,0.8236638903617859,0.8245651721954346,0.8920652866363525,0.08778177201747894
23,0.9129782915115356,0.9129747152328491,0.8629111647605896,0.9793962240219116,0.1363225132226944,0.8202244639396667,0.820218026638031,0.7931159734725952,0.9130128026008606,0.08828279376029968
24,0.9201822876930237,0.9201789498329163,0.8758969902992249,0.9785805344581604,0.13260085880756378,0.8271279335021973,0.8271216154098511,0.7695071697235107,0.9425191879272461,0.09136483073234558
25,0.9038825631141663,0.9038787484169006,0.8528639674186707,0.9735575318336487,0.131534144282341,0.8108071088790894,0.810800313949585,0.775007963180542,0.9138529300689697,0.09166482090950012
26,0.9237409830093384,0.9237379431724548,0.8784599900245667,0.9789426326751709,0.12200144678354263,0.8348653316497803,0.8348594307899475,0.8176575303077698,0.9091716408729553,0.08479174971580505
27,0.9296651482582092,0.9296624064445496,0.8920775055885315,0.9764531254768372,0.1175614520907402,0.8054727911949158,0.8054662942886353,0.7581570148468018,0.9347321391105652,0.0877993106842041
28,0.9387786388397217,0.9387761354446411,0.9025129675865173,0.9813250303268433,0.11186544597148895,0.8067330121994019,0.8067265748977661,0.7558419108390808,0.938186526298523,0.08634747564792633
29,0.9381865859031677,0.9381838440895081,0.9005992412567139,0.9821856021881104,0.10669967532157898,0.8073088526725769,0.8073022365570068,0.7896482348442078,0.9070345759391785,0.08500601351261139
30,0.9351128339767456,0.9351100921630859,0.8974369764328003,0.9798309803009033,0.10288657248020172,0.8040292263031006,0.8040226101875305,0.7706430554389954,0.9216853380203247,0.08797721564769745
31,0.937899649143219,0.9378970861434937,0.9032297730445862,0.979547381401062,0.1000056192278862,0.8085206151008606,0.8085140585899353,0.7504675984382629,0.9456909894943237,0.08245518803596497
32,0.9322140216827393,0.9322110414505005,0.8950350284576416,0.9773998856544495,0.09710240364074707,0.7976600527763367,0.7976532578468323,0.7547286152839661,0.927405059337616,0.08834531158208847
33,0.9319767355918884,0.9319737553596497,0.8952223062515259,0.9756618142127991,0.09638034552335739,0.8124619722366333,0.8124552965164185,0.7647715210914612,0.929753839969635,0.0787036344408989
34,0.9251967072486877,0.9251934885978699,0.8943643569946289,0.9645009636878967,0.09722281992435455,0.7809178829193115,0.7809104919433594,0.7277858257293701,0.9178948998451233,0.08031958341598511
35,0.9358481168746948,0.9358454346656799,0.9056116938591003,0.9735276103019714,0.09450189769268036,0.7868773937225342,0.7868704795837402,0.7508327960968018,0.9077017903327942,0.07366830855607986
36,0.9349419474601746,0.934939444065094,0.8993508219718933,0.9780053496360779,0.08945535123348236,0.7831256985664368,0.7831186652183533,0.754808783531189,0.8949978947639465,0.0782453790307045
37,0.93507319688797,0.9350706338882446,0.9015918970108032,0.977229118347168,0.08814819157123566,0.7873045802116394,0.7872976064682007,0.7938141226768494,0.8628613352775574,0.07449939846992493
