epoch,dice,fg_f1,fg_precision,fg_recall,loss,val_dice,val_fg_f1,val_fg_precision,val_fg_recall,val_loss
0,0.05180806666612625,0.05180618539452553,0.026806406676769257,0.9229387640953064,0.7156916856765747,0.024407880380749702,0.024407021701335907,0.012398277409374714,1.0,5.67634916305542
1,0.1744452565908432,0.17443996667861938,0.09841294586658478,0.9562602639198303,0.6036247611045837,0.03714128956198692,0.037140000611543655,0.019027097150683403,1.0,2.5284860134124756
2,0.3115266263484955,0.3115186393260956,0.19416818022727966,0.9526306986808777,0.5339108109474182,0.04917182773351669,0.04917013645172119,0.025387851521372795,0.9995261430740356,1.4489331245422363
3,0.5029267072677612,0.5029172897338867,0.35688334703445435,0.9734107255935669,0.4892750382423401,0.06487695872783661,0.06487474590539932,0.033814650028944016,0.9999967217445374,0.992569625377655
4,0.6184905767440796,0.6184813976287842,0.47296571731567383,0.9762517213821411,0.4613702595233917,0.13862425088882446,0.13861972093582153,0.07631060481071472,0.9759994149208069,0.5328286290168762
5,0.6918023824691772,0.6917937994003296,0.5491666197776794,0.986886739730835,0.4356918931007385,0.5571028590202332,0.5570926666259766,0.4069287180900574,0.9790418148040771,0.3566488027572632
6,0.7420693039894104,0.7420615553855896,0.6115096211433411,0.9831268787384033,0.41330236196517944,0.6903024315834045,0.6902934908866882,0.568122386932373,0.9622393846511841,0.2686888575553894
7,0.7783790230751038,0.7783717513084412,0.6566604375839233,0.9872427582740784,0.39126089215278625,0.752081036567688,0.7520729303359985,0.659883439540863,0.9511854648590088,0.20672175288200378
8,0.7993534803390503,0.7993465662002563,0.6840546727180481,0.9879601001739502,0.3707706034183502,0.7905682325363159,0.7905609011650085,0.7258240580558777,0.9291329979896545,0.15055428445339203
9,0.8061394095420837,0.8061329126358032,0.6933186054229736,0.9881490468978882,0.3508594334125519,0.8091128468513489,0.8091058135032654,0.786196231842041,0.8907260894775391,0.11185511946678162
10,0.8107507228851318,0.8107443451881409,0.6991785764694214,0.9885424375534058,0.3312573730945587,0.8045909404754639,0.8045836091041565,0.8323233723640442,0.843492865562439,0.07963672280311584
11,0.7979946732521057,0.7979879975318909,0.6827002167701721,0.9860712885856628,0.31468045711517334,0.8116505146026611,0.811643660068512,0.7929186224937439,0.8991185426712036,0.07564143091440201
12,0.8221209049224854,0.8221146464347839,0.714755654335022,0.9851865768432617,0.2958739995956421,0.8077150583267212,0.807707667350769,0.8536315560340881,0.8217538595199585,0.05982958525419235
13,0.8195791840553284,0.8195728659629822,0.7138407230377197,0.9834246039390564,0.2791523337364197,0.8181558847427368,0.818149209022522,0.7844477295875549,0.9173254370689392,0.06577818095684052
14,0.8178380727767944,0.8178316950798035,0.7130091786384583,0.9826430082321167,0.26807084679603577,0.7846982479095459,0.7846907377243042,0.7200132012367249,0.9339771270751953,0.07192935049533844
15,0.8248538374900818,0.8248476386070251,0.7274448871612549,0.9807567596435547,0.25275716185569763,0.8139315247535706,0.8139246702194214,0.750209629535675,0.9397760033607483,0.0639750137925148
16,0.854138970375061,0.854133665561676,0.7653188109397888,0.9845024347305298,0.2402360439300537,0.8384225368499756,0.838416337966919,0.7901890873908997,0.935664713382721,0.05681107938289642
17,0.8623606562614441,0.8623557686805725,0.7850954532623291,0.9842498302459717,0.2283216416835785,0.8379905819892883,0.8379846215248108,0.8043868541717529,0.9197767972946167,0.05781104043126106
18,0.8942877054214478,0.8942834138870239,0.8242983222007751,0.9863170385360718,0.21268558502197266,0.8249261379241943,0.8249198794364929,0.8053339123725891,0.8992074131965637,0.058687593787908554
19,0.8963845372200012,0.8963805437088013,0.8283557891845703,0.9852149486541748,0.20253518223762512,0.822638213634491,0.8226317167282104,0.7918721437454224,0.9090972542762756,0.06057985499501228
20,0.8948513865470886,0.8948473334312439,0.8283020257949829,0.9829745888710022,0.19417811930179596,0.7983613610267639,0.7983540892601013,0.7458159923553467,0.9211204051971436,0.0698777586221695
21,0.8800987005233765,0.8800941109657288,0.8130585551261902,0.9737119078636169,0.18788598477840424,0.5756534337997437,0.5756437182426453,0.47610700130462646,0.9332061409950256,0.20434698462486267
22,0.8844001293182373,0.8843957185745239,0.8209934830665588,0.973369300365448,0.18348707258701324,0.8066664338111877,0.8066591024398804,0.78493332862854,0.8809140920639038,0.06336676329374313
23,0.8904966711997986,0.8904925584793091,0.8320325016975403,0.976631760597229,0.17846639454364777,0.8262090682983398,0.8262026906013489,0.7954709529876709,0.9156196117401123,0.06984750926494598
24,0.8980416059494019,0.8980375528335571,0.8408177495002747,0.9773215651512146,0.16820771992206573,0.8423555493354797,0.8423497080802917,0.8150834441184998,0.9181521534919739,0.07592460513114929
25,0.9094339609146118,0.9094301462173462,0.8531649112701416,0.9817444086074829,0.15901857614517212,0.8107821941375732,0.8107754588127136,0.7740268707275391,0.9088788628578186,0.0841909795999527
26,0.9220200777053833,0.9220170378684998,0.8722981214523315,0.98363196849823,0.15093721449375153,0.8228633403778076,0.8228570818901062,0.7955045700073242,0.9059820175170898,0.0759938433766365
27,0.9289716482162476,0.9289687871932983,0.8853887915611267,0.9830297827720642,0.1481248140335083,0.8100185394287109,0.8100117444992065,0.8233334422111511,0.8727335333824158,0.06703976541757584
28,0.9212273359298706,0.9212242364883423,0.8835023641586304,0.9727808237075806,0.1450667828321457,0.7956013679504395,0.7955940961837769,0.7149227857589722,0.9522573947906494,0.08234567195177078
29,0.9071298837661743,0.9071263670921326,0.857978880405426,0.9738950729370117,0.1411599963903427,0.8298032283782959,0.829797089099884,0.8004871010780334,0.9108277559280396,0.07388539612293243
