epoch,dice,fg_f1,fg_precision,fg_recall,loss,val_dice,val_fg_f1,val_fg_precision,val_fg_recall,val_loss
0,0.10562535375356674,0.10562185943126678,0.05753954499959946,0.9430708289146423,0.6828368306159973,0.07617956399917603,0.0761767104268074,0.04009100794792175,0.9242708683013916,0.5819805860519409
1,0.4129152297973633,0.4129064977169037,0.2783104181289673,0.9700927734375,0.5411214232444763,0.04082738235592842,0.04082596302032471,0.020968306809663773,0.9964374899864197,2.6171488761901855
2,0.5743443965911865,0.5743351578712463,0.4243426024913788,0.983130156993866,0.4659428596496582,0.06435740739107132,0.06435514241456985,0.033551134169101715,0.9755920767784119,1.5783259868621826
3,0.6685552597045898,0.6685463786125183,0.5245870351791382,0.9791909456253052,0.4274703562259674,0.09210123866796494,0.09209739416837692,0.04956646263599396,0.8168756365776062,0.741095244884491
4,0.7124677300453186,0.7124593257904053,0.5771186947822571,0.9808318614959717,0.4053252339363098,0.14553280174732208,0.1455235779285431,0.08639281243085861,0.5580799579620361,0.457135409116745
5,0.7551170587539673,0.7551094889640808,0.6263096928596497,0.9876700043678284,0.3793441653251648,0.20180264115333557,0.20178431272506714,0.14470933377742767,0.4020863473415375,0.34200501441955566
6,0.7684911489486694,0.7684838175773621,0.6477871537208557,0.9810904860496521,0.35675427317619324,0.08675939589738846,nan,0.10561681538820267,0.09368783980607986,0.2520492672920227
7,0.7627602815628052,0.7627525925636292,0.6436787843704224,0.9748573899269104,0.34112197160720825,0.6839115619659424,0.6839025020599365,0.598932147026062,0.9152330756187439,0.23428720235824585
8,0.7827187776565552,0.7827115654945374,0.6651108860969543,0.983636200428009,0.3231915235519409,0.7713436484336853,0.7713353037834167,0.7522059082984924,0.8604154586791992,0.1760721504688263
9,0.8005157113075256,0.8005089163780212,0.6846831440925598,0.9866628050804138,0.3042691946029663,0.790319561958313,0.7903120517730713,0.7748088240623474,0.8821375370025635,0.14111000299453735
10,0.8009355068206787,0.8009286522865295,0.6867166757583618,0.983192503452301,0.2898161709308624,0.7844826579093933,0.7844749689102173,0.7778682708740234,0.8788259625434875,0.11860142648220062
11,0.8115710020065308,0.8115644454956055,0.702753484249115,0.98245769739151,0.27411529421806335,0.7960720062255859,0.7960648536682129,0.7479044198989868,0.9200657606124878,0.10666250437498093
12,0.8164361119270325,0.8164297342300415,0.7094365358352661,0.983921468257904,0.25892868638038635,0.8024064898490906,0.8023993372917175,0.7588444948196411,0.9170863032341003,0.0965484231710434
13,0.8185151815414429,0.818509042263031,0.720659613609314,0.9842018485069275,0.24965964257717133,0.8299113512039185,0.829905092716217,0.817653477191925,0.898591160774231,0.06397363543510437
14,0.8390170335769653,0.8390113115310669,0.7404402494430542,0.9849241971969604,0.23452594876289368,0.7831509113311768,0.7831432819366455,0.7127930521965027,0.9364408850669861,0.08925877511501312
15,0.8274364471435547,0.8274303674697876,0.7280865907669067,0.9833834171295166,0.22384928166866302,0.7887316942214966,0.7887242436408997,0.7031606435775757,0.9478471279144287,0.08086933195590973
16,0.859343945980072,0.8593388795852661,0.7758141160011292,0.9840801954269409,0.21645572781562805,0.8319829702377319,0.8319766521453857,0.809036135673523,0.9076039791107178,0.05429961904883385
17,0.8629225492477417,0.8629175424575806,0.7750444412231445,0.9870986342430115,0.20111383497714996,0.8162763118743896,0.8162696957588196,0.8112649917602539,0.882178544998169,0.06509633362293243
18,0.8533363342285156,0.8533308506011963,0.7636492252349854,0.9833857417106628,0.19242626428604126,0.8061942458152771,0.8061873316764832,0.7686709761619568,0.9108021259307861,0.07138179242610931
19,0.8663733005523682,0.8663682341575623,0.7867056131362915,0.9809291362762451,0.1865234375,0.8119913935661316,0.8119845390319824,0.7491728067398071,0.9386637806892395,0.06790630519390106
20,0.8690764307975769,0.8690714240074158,0.788905680179596,0.9834898710250854,0.17667457461357117,0.8284380435943604,0.8284316658973694,0.791830837726593,0.919138491153717,0.06715954095125198
21,0.8807167410850525,0.8807124495506287,0.80668044090271,0.9835364818572998,0.16803517937660217,0.8444587588310242,0.8444530963897705,0.8498815894126892,0.8870733380317688,0.05932590737938881
22,0.8853318691253662,0.8853273987770081,0.8109132051467896,0.9845863580703735,0.15949803590774536,0.8180993795394897,0.8180927038192749,0.7629786729812622,0.9286827445030212,0.0780654028058052
23,0.8803357481956482,0.8803310990333557,0.8081369996070862,0.9841722249984741,0.16125085949897766,0.8071715235710144,0.8071646094322205,0.7955121994018555,0.8826298713684082,0.060930926352739334
24,0.9078378081321716,0.9078342914581299,0.851401686668396,0.9811788201332092,0.15341639518737793,0.8111212849617004,0.8111145496368408,0.7571222186088562,0.92766273021698,0.06952648609876633
25,0.8991903066635132,0.8991862535476685,0.8371896147727966,0.9824011921882629,0.14529278874397278,0.8138505220413208,0.813843846321106,0.7583789229393005,0.9278091788291931,0.07345112413167953
26,0.8914788365364075,0.8914746642112732,0.8276546001434326,0.9798890352249146,0.1421022117137909,0.8271819949150085,0.8271756768226624,0.7617231607437134,0.9396842122077942,0.0772893950343132
27,0.9035162329673767,0.9035122990608215,0.8430697321891785,0.9816759824752808,0.14071765542030334,0.8157533407211304,0.8157467246055603,0.781400740146637,0.9082265496253967,0.07084968686103821
28,0.9183269143104553,0.9183236360549927,0.8672375082969666,0.9832311272621155,0.13243356347084045,0.8279939889907837,0.8279876112937927,0.8059437870979309,0.9036493301391602,0.06780939549207687
29,0.9177307486534119,0.9177273511886597,0.864442765712738,0.9846382141113281,0.12702743709087372,0.8357259631156921,0.8357198238372803,0.8234830498695374,0.8972581028938293,0.06770855188369751
